сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м. Київ;Дніпровський; б-р Верховної Ради;1-А;50.4469095;30.6104003;Подвійного призначення;Підвал;Житловий будинок;ЖЕД №401 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-45-33;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;12;50.44820;30.62627;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД №411 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;513-32-81;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;13;50.44835;30.61675;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД №401 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;14-Б;50.4477931;30.6204158;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;"ТОВ ""Новобудова""";Приватна;050-410-03-13;В наявності
м. Київ;Дніпровський; б-р Верховної Ради;17;50.44892;30.61884;Подвійного призначення;Підвал;Житловий будинок;ЖЕД №401 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;21;50.45045;30.62215;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД №402 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;21;50.44994;30.62200;Подвійного призначення;Підвал;Житловий будинок;ЖЕД №401 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;21-А;50.44991;30.62209;Найпростіші укриття;Підвал;Житловий будинок;"КП з експлуатації і ремонту житлового фонду ""Житлосервіс""";Комунальна;281-44-01;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;21-А;50.4501881;30.6219755;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ОСББ;Приватна;097-159-99-99;В наявності
м. Київ;Дніпровський; б-р Верховної Ради;21-Б;50.45013;30.62298;Найпростіші укриття;Підвал;Житловий будинок;"КП з експлуатації і ремонту житлового фонду ""Житлосервіс""";Комунальна;281-44-01;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;21-Б;50.4503767;30.622762;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ОСББ;Приватна;097-159-99-99;В наявності
м. Київ;Дніпровський; б-р Верховної Ради;22;50.44940;30.62388;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД №401 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-45-33;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;27;50.45120;30.62707;Подвійного призначення;Підвал;Житловий будинок;ЖЕД №402 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;3;50.44697;30.61174;Подвійного призначення;Підвал;Житловий будинок;ЖЕД №402 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
м. Київ;Дніпровський; б-р Верховної Ради;31;50.45203;30.62942;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД №402 КП «КК з ОЖФ Дніпровського району м. Києва»;Комунальна;559-69-82;Відсутній
