сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Оболонський; вул. Героїв Дніпра;16-В;50.5197601886085;30.492716028389545;Найпростіші укриття;Підвал;Житловий будинок;Зарево;Приватна;412-15-52;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;20-Б;50.521664442316364;30.493968204053544;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-30-91;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;27;50.52250796565042;30.49069369770168;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;31;50.5221132;30.4939827;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;32-Г;50.5197577;30.5024585;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;36;50.5220425;30.5052516;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;38-Б;50.5202938;30.5076163;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;38-В;50.5203175;30.5065729;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;38-Г;50.5194852;30.5068948;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;38-Д;50.5196387;30.5057361;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
