"city";"district";"address";"address_number";"latitude";"longitude";"closure_type";"shelter_type";"building_type";"owner";"ownership_type";"phone";"ramp"
"м.Київ";"Печерський";" вул. Грушевського";"4-А";"50.4509117";"30.5281211";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Грушевського";"9";"50.444527";"30.5422905";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Грушевського";"9-А";"50.4452525";"30.5436771";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""ЖЕК-9А""";"Приватна";"067 448 18 40";"В наявності"
"м.Київ";"Печерський";" вул. Гусовського";"1";"50.43615";"30.54200";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Гусовського";"11/11";"50.4341119";"30.5410756";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Корона віденська""";"Приватна";"067 247 93 23";"Відсутній"
"м.Київ";"Печерський";" вул. Гусовського";"15";"50.4337655";"30.5408915";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Корона віденська""";"Приватна";"067 247 93 23";"Відсутній"
"м.Київ";"Печерський";" вул. Гусовського";"4";"50.4351148";"30.5409685";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Гусовського";"8/10";"50.4338771";"30.540529";"Подвійного призначення";"Підвал";"житловий будинок";"Аяр Явуз Селим";"Приватна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Дарвіна";"4";"50.4419746";"30.5246761";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Дарвіна";"5";"50.4415473";"30.5258654";"Найпростіші укриття";"Підвал";"житловий будинок";"ТОВ ""УкрЗерноИмпульс""";"Приватна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Драгомирова";"12";"50.41297";"30.54552";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"14";"50.4118128";"30.5458256";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"16";"50.4109826";"30.5455792";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"16-Б";"50.4110197";"30.5444949";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"18-А";"50.4103681";"30.5442984";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"20";"50.4094962";"30.5439139";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"20-А";"50.41016";"30.54354";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"3";"50.41277";"30.5469827";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Житло-сервіс""";"Приватна";"050 411 83 02";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"5";"50.4120066";"30.5469144";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"7";"50.411225";"30.5466287";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Драгомирова";"9";"50.41029";"30.54661";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Новосервіс""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Залізничне шосе";"4";"50.4064121";"30.5314951";"Найпростіші укриття";"Підвал";"гуртожиток";"ТЧ-1 Локомативне депо ""Київ-Пасажирський""";"Інша";"465 37 04";"Відсутній"
"м.Київ";"Печерський";" вул. Звіринецька";"47";"50.4083368";"30.5545856";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Ітон Груп""";"Приватна";"095 857 36 57";"В наявності"
"м.Київ";"Печерський";" вул. Звіринецька";"59";"50.4078125";"30.5552756";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Т.М.М.""";"Приватна";"067 546 07 68";"В наявності"
"м.Київ";"Печерський";" вул. Звіринецька";"61-А";"50.406095";"30.5560588";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Звіринецька";"65";"50.4052274";"30.555741";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Мазепи Івана";"3Б";"50.4438207";"30.5474484";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Інститутська";"15/5";"50.4465069";"30.5338036";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 35";"Відсутній"
"м.Київ";"Печерський";" вул. Інститутська";"18-А";"50.4454204";"30.5316589";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""СІГОО""";"Приватна";"067 404 01 83";"В наявності"
"м.Київ";"Печерський";" вул. Інститутська";"18-Б";"50.44560";"30.53205";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""СІГОО""";"Приватна";"067 404 01 83";"В наявності"
"м.Київ";"Печерський";" вул. Інститутська";"19-А";"50.4457576";"30.5355888";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Інститутська";"19-В";"50.4455221";"30.535801";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Інститутська";"22/7";"50.4451939";"30.5353985";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
