сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м. Київ;Дарницький; вул. Ахматової Анни;13;50.40747;30.635;Подвійного призначення;Підвал;Житловий будинок;«13-й квартал»;Приватна;095-756-15-69;Відсутній
м. Київ;Дарницький; вул. Ахматової Анни;13-Г;50.4079378;30.635771;Подвійного призначення;Підземний паркінг з пандусом;Підземні автопаркінги;ТОВ «Рада»;Приватна;572-29-75;В наявності
м. Київ;Дарницький; вул. Ахматової Анни;13-Г;50.40823;30.63518;Подвійного призначення;Підвал;Будинок інвестиційний;ТОВ «Рада»;Приватна;572-29-75;Відсутній
м. Київ;Дарницький; вул. Ахматової Анни;13-Д;50.4077154;30.6364663;Подвійного призначення;Підземний паркінг з пандусом;Підземні автопаркінги;ТОВ «Рада»;Приватна;572-29-75;В наявності
м. Київ;Дарницький; вул. Ахматової Анни;13-Д;50.40714;30.63666;Подвійного призначення;Підвал;Будинок інвестиційний;ТОВ «Рада»;Приватна;572-29-75;Відсутній
м. Київ;Дарницький; вул. Ахматової Анни;13-Є;50.4080048;30.6347215;Подвійного призначення;Підземний паркінг з пандусом;Підземні автопаркінги;Підземна автостоянка ТОВ «Будсервісматеріали»;Приватна;569-53-55;В наявності
м. Київ;Дарницький; вул. Ахматової Анни;22;50.40855;30.62494;Подвійного призначення;Підземний паркінг з пандусом;Підземні автопаркінги;ОСББ «Ахматової Анни 22»;Приватна;095-510-11-73;В наявності
м. Київ;Дарницький; вул. Ахматової Анни;18;50.40991;30.63081;Подвійного призначення;Підвал;Будинок інвестиційний;ТОВ «Новобудова»;Приватна;525-90-03;Відсутній
м. Київ;Дарницький; вул. Ахматової Анни;22;50.40852;30.62497;Подвійного призначення;Підвал;Житловий будинок;«Ахматової Анни 22»;Приватна;095-510-11-73;Відсутній
м. Київ;Дарницький; вул. Ахматової Анни;24;50.4092218;30.6239023;Подвійного призначення;Підземний паркінг з пандусом;Підземні автопаркінги;ОСББ «Ахматової-24»;Приватна;383-70-13;В наявності
м. Київ;Дарницький; вул. Ахматової Анни;24;50.40951;30.62329;Подвійного призначення;Підвал;Житловий будинок;«Ахматової-24»;Приватна;383-70-13;Відсутній
