сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м. Київ;Голосіївський; вул. Антоновича;10-Б;50.4384874;30.5120886;Подвійного призначення;Підвал;Житловий будинок;Власн. Разуменко Т.Є.;Приватна;228-57-28;Відсутній
м. Київ;Голосіївський; вул. Антоновича;100;50.4240895;30.5147724;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Академічний-14""";Приватна;098-932-49-53;Відсутній
м. Київ;Голосіївський; вул. Антоновича;102;50.42389899157312;30.515361109523596;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Академічний-14""";Приватна;098-932-49-53;Відсутній
м. Київ;Голосіївський; вул. Антоновича;104;50.42363241144819;30.51557300401856;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Академічний-14""";Приватна;098-932-49-53;Відсутній
м. Київ;Голосіївський; вул. Антоновича;112;50.4234991;30.514397;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;122;50.4213006;30.5172487;Найпростіші укриття;Підвал;Будинки ОСББ;"ОСББ ""Антоновича-122""";Приватна;099-965-86-73;Відсутній
м. Київ;Голосіївський; вул. Антоновича;125;50.4198463;30.5190329;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""ЖК-2""";Приватна;093-259-39-22;Відсутній
м. Київ;Голосіївський; вул. Антоновича;125-А;50.4198092;30.5196625;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;130/17;50.4200162;30.5174496;Найпростіші укриття;Підвал з пандусом;школа І-ІІІ ступенів № 37 міста Києва;Комунальна власність міста Києва;Комунальна;529-31-13;В наявності
м. Київ;Голосіївський; вул. Антоновича;140;50.418955;30.5184333;Подвійного призначення;Підземний паркінг;Паркінг;ОСББ «АКОН-140»;Приватна;050-383-00-95;Відсутній
м. Київ;Голосіївський; вул. Антоновича;150;50.4180425;30.5185921;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;152;50.4180922;30.5190112;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;154;50.4175888;30.5193221;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;156;50.4172974;30.5197745;Найпростіші укриття;Підвал;Приміщення ДЮСК;ФОЦ «Голосієво»;Комунальна;206-27-72;Відсутній
м. Київ;Голосіївський; вул. Антоновича;156;50.4173952;30.5196859;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Молодіжний-12""";Приватна;067-731-03-10;Відсутній
м. Київ;Голосіївський; вул. Антоновича;158;50.4166672;30.520406;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Молодіжний-12""";Приватна;067-731-03-10;Відсутній
м. Київ;Голосіївський; вул. Антоновича;160;50.41660456279775;30.51980185323239;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Молодіжний-12""";Приватна;067-731-03-10;Відсутній
м. Київ;Голосіївський; вул. Антоновича;162;50.4160679;30.5205044;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;164;50.4156658;30.5208091;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;165;50.4152987;30.5222933;Найпростіші укриття;Підвал;Будинки ОСББ;"ОСББ ""МЖК Горького 165""";Приватна;068-098-50-19;Відсутній
м. Київ;Голосіївський; вул. Антоновича;166;50.41536485079378;30.520612087517044;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;169;50.414455;30.522695;Подвійного призначення;Підвал;Житловий будинок;Власн. Вознюк М.В.;Приватна;461-94-71;Відсутній
м. Київ;Голосіївський; вул. Антоновича;18-А;50.4373605;30.5130747;Подвійного призначення;Підвал;Житловий будинок;Власн. Мороз Р.О.;Приватна;289-99-89;Відсутній
м. Київ;Голосіївський; вул. Антоновича;18-Б;50.43735006814771;30.512596634626238;Подвійного призначення;Підвал;Житловий будинок;Власн. Олійник О.М.;Приватна;067-236-57-33;Відсутній
м. Київ;Голосіївський; вул. Антоновича;20-Б;50.437108726953774;30.512740984051028;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Ільма-Істейт»;Приватна;287-21-34;Відсутній
м. Київ;Голосіївський; вул. Антоновича;22;50.436881;30.5132521;Подвійного призначення;Підвал;Житловий будинок;Власн. Максимова;Приватна;;Відсутній
м. Київ;Голосіївський; вул. Антоновича;24-А;50.4366021;30.5132539;Найпростіші укриття;Підвал;Будинки комунальної власності;ЖЕД-102 КП «КК з ОЖФ Голосіївського р-ну м. Києва»;Комунальна;528-62-52;Відсутній
м. Київ;Голосіївський; вул. Антоновича;3-А;50.4388244;30.5139648;Подвійного призначення;Підвал;Житловий будинок;Власн. Каменецька Л.В.;Приватна;067-234-94-55;Відсутній
м. Київ;Голосіївський; вул. Антоновича;4/6;50.439249;30.5132977;Найпростіші укриття;Підвал з пандусом;спеціалізована школа № 87 з поглибленим вивченням української мови та літератури ім. О. П. Довженка міста Києва;Комунальна власність міста Києва;Комунальна;234-50-55;В наявності
м. Київ;Голосіївський; вул. Антоновича;7-В;50.4382061;30.5146515;Найпростіші укриття;Підвал;Будинки ОСББ;"ОСББ ""Азмар-1""";Приватна;067-356-05-68;Відсутній
м. Київ;Голосіївський; вул. Антоновича;97;50.4240625;30.5164285;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Телеекран""";Приватна;095-834-58-13;Відсутній
м. Київ;Голосіївський; вул. Антоновича;99;50.424206;30.5170487;Найпростіші укриття;Підвал;Будинки ЖБК;"ЖБК ""Телеекран""";Приватна;095-834-58-13;Відсутній
м. Київ;Голосіївський; вул. Блакитного;10;50.3878597;30.516834;Найпростіші укриття;Підвал;Гуртожиток;Національний університет біоресурсів та природокористування України;Комунальна;098-003-17-68;Відсутній
м. Київ;Голосіївський; вул. Бурмістенка;11;50.3931121;30.496779;Найпростіші укриття;Підвал;Будинки ОСББ;"ОСББ ""Будівельник 14/11""";Приватна;067-575-75-94;Відсутній
м. Київ;Голосіївський; вул. Бурмістенко;4;50.3907027;30.4986069;Найпростіші укриття;Підвал;Гуртожиток;Національний університет біоресурсів та природокористування України;Комунальна;098-003-17-68;Відсутній
м. Київ;Голосіївський; вул. Бурмістенко;7/11;50.3919231;30.4973654;Найпростіші укриття;Підвал;Будинки ОСББ;"ОСББ ""Темп""";Приватна;093-050-45-20;Відсутній
