сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м. Київ;Святошинський; б-р Вернадського Академіка;14-А;50.4603039;30.3795447;Найпростіші укриття;Підвал;гуртожиток;Київський авіаційний завод «АВІАНТ»;Комунальна;;Відсутній
м. Київ;Святошинський; б-р Вернадського Академіка;14-Б;50.4602935;30.3801275;Найпростіші укриття;Підвал;гуртожиток;Київський авіаційний завод «АВІАНТ»;Комунальна;;Відсутній
м. Київ;Святошинський; б-р Вернадського Академіка;16-Б;50.4613296;30.3782641;Найпростіші укриття;Підвал;гуртожиток;ДП «Антонов»;Комунальна;067-149-65-63;Відсутній
м. Київ;Святошинський; б-р Вернадського Академіка;53;50.4618665;30.3722738;Найпростіші укриття;Підвал;адмін. будівля;Департамент охорони здоров'я;Комунальна;424 05 33;Відсутній
м. Київ;Святошинський; б-р Вернадського Академіка;53;50.4620782;30.3715711;Найпростіші укриття;Підвал;адмін. будівля;Департамент охорони здоров'я;Комунальна;425 05 33;Відсутній
м. Київ;Святошинський; б-р Вернадського Академіка;57;50.4633244;30.370916;Найпростіші укриття;Підвал;житловий будинок;"ОСББ ""Дім-Ранок""";Приватна;050-348-89-41;Відсутній
м. Київ;Святошинський; б-р Вернадського Академіка;81;50.4647439;30.3606458;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Металург""";Приватна;684792835;Відсутній
м. Київ;Святошинський; б-р Кольцова;11-А;50.4186313;30.3813279;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Квант""";Приватна;050-654-98-30;Відсутній
м. Київ;Святошинський; б-р Кольцова;14-Д;50.4237103;30.380409;Найпростіші укриття;Підвал;житловий будинок;ТОВ «Явір-Житлобуд-2»;Приватна;067-442-94-85;Відсутній
м. Київ;Святошинський; б-р Кольцова;14-Є;50.4246647;30.3819412;Найпростіші укриття;Підвал;житловий будинок;ТОВ «Явір-Житлобуд-2»;Приватна;067-442-94-85;Відсутній
м. Київ;Святошинський; б-р Кольцова;14-Ж;50.4228954;30.3819663;Найпростіші укриття;Підвал;житловий будинок;ТОВ «Явір-Житлобуд-2»;Приватна;067-442-94-85;Відсутній
м. Київ;Святошинський; б-р Кольцова;15;50.4211537;30.3797531;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-2 моб. 050-496-03-07;Відсутній
м. Київ;Святошинський; б-р Кольцова;17-А;50.42453;30.3735524;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-3 моб. 050-176-50-57;Відсутній
м. Київ;Святошинський; б-р Кольцова;18;50.4233419;30.379045;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Дніпро""";Приватна;067-231-91-04;Відсутній
м. Київ;Святошинський; б-р Кольцова;20-А;50.4240355;30.3778393;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-3 моб. 050-176-50-57;Відсутній
м. Київ;Святошинський; б-р Кольцова;22;50.4246014;30.3771125;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Автотранспортник""";Приватна;093-581-38-58;Відсутній
м. Київ;Святошинський; б-р Кольцова;5-В;50.4171619;30.3829935;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Волга""";Приватна;050-561-32-85;Відсутній
м. Київ;Святошинський; б-р Кольцова;7-Б;50.4175844;30.3815372;Найпростіші укриття;Підвал;адмін. будівля;Управління освіти Святошинської РДА;Комунальна;0405 03 01;Відсутній
м. Київ;Святошинський; б-р Кольцова;9;50.4193087;30.3820491;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Електрон-1""";Приватна;050-469-07-28;Відсутній
м. Київ;Святошинський;б-р Ромена Роллана 4-Б;;50.4290659;30.3739351;Найпростіші укриття;Підвал;житловий будинок;"ЖБК""Будівельник-3""";Приватна;067-659-43-95;Відсутній
м. Київ;Святошинський;б-р Ромена Роллана 4-В;;50.429388;30.3737065;Найпростіші укриття;Підвал;житловий будинок;"ЖБК""Будівельник-3""";Приватна;067-659-43-95;Відсутній
м. Київ;Святошинський; б-р Ромена Роллана;5-Б;50.4286395;30.3700116;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""50 років Жовтня""";Приватна;096-553-94-82;Відсутній
м. Київ;Святошинський; б-р Ромена Роллана;5-В;50.4284776;30.3694655;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Жовтень""";Приватна;067-303-50-28;Відсутній
м. Київ;Святошинський; вул. Бударіна;1;50.4464681;30.2794928;Найпростіші укриття;Підвал;житловий будинок;"Санаторій ""Перемога""";Комунальна;221-63-70;Відсутній
м. Київ;Святошинський; вул. Бударіна;11;50.440661;30.2790716;Найпростіші укриття;Підвал;адмін. будівля;Департамент соціальної політики;Комунальна;228 30 72;Відсутній
м. Київ;Святошинський; вул. Бударіна;3;50.4473004;30.2786486;Найпростіші укриття;Підвал;адмін. будівля;Міністерство соціальної політики;Комунальна;221-63-70;Відсутній
м. Київ;Святошинський; вул. Бударіна;3-А;50.4443211;30.2812868;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-6 т. 452-27-29 моб. 093-633-98-94;Відсутній
м. Київ;Святошинський; вул. Бударіна;3-В;50.4442111;30.2800412;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-6 т. 452-27-29 моб. 093-633-98-94;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;22;50.4716653;30.3380001;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Луна""";Приватна;095-274-59-58;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;24;50.4716341;30.3371326;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Київ-5""";Приватна;095-406-92-95;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;26;50.4711413;30.3370591;Найпростіші укриття;Підвал;адмін. будівля;"КНП ""Центр первинної медико-Санітарної допомоги №1 Свтошинського району м. Києва";Комунальна;099-365-29-30;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;40;50.4676386;30.3324749;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-7 т. 050-313-37-90;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;42/43;50.4673406;30.3317941;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-7 т. 050-313-37-90;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;5-Г;50.4692366;30.3374671;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""БУЛАХОВСЬКОГО 5-Г""";Приватна;067-472-26-26;Відсутній
м. Київ;Святошинський; вул. Булаховського Академіка;5-Д;50.4695074;30.3367582;Подвійного призначення;Підземний паркінг з пандусом;Підземний паркінг;"Кооператив ""Булаховського""";Приватна;067-192-83-94;В наявності
м. Київ;Святошинський; вул. Булаховського Академіка;5-Д;50.4698919;30.3371217;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""ДЕЛЬТА-ПЛЮС""";Приватна;097-184-38-17;Відсутній
м. Київ;Святошинський; вул. Булгакова;12;50.4098675;30.4082639;Найпростіші укриття;Підвал;адмін. будівля;Управління освіти Святошинської РДА;Комунальна;402 36 13;Відсутній
м. Київ;Святошинський; вул. Булгакова;15;50.4117777;30.4074303;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Алмаз-5""";Приватна;067-99-85-118;Відсутній
м. Київ;Святошинський; вул. Булгакова;16;50.4113864;30.4096048;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-1 т. 402-91-84;Відсутній
м. Київ;Святошинський; вул. Булгакова;6;50.4099474;30.4038558;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Алмаз-7""";Приватна;402-74-57;Відсутній
м. Київ;Святошинський; вул. Велика Кільцева дорога;1-Б;50.4122182;30.3897633;Найпростіші укриття;Підвал;адмін. будівля;Управління освіти Святошинської РДА;Комунальна;402 67 12;Відсутній
м. Київ;Святошинський; вул. Велика Кільцева дорога;13;50.4520872;30.3575562;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;"КП ""Київблагоустрій""";Комунальна;489-32-99;В наявності
м. Київ;Святошинський; вул. Велика Кільцева дорога;16;50.4434339;30.3586685;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;"КП ""Київблагоустрій""";Комунальна;489-32-99;В наявності
м. Київ;Святошинський; вул. Велика Кільцева;3-А;50.4113653;30.3901629;Найпростіші укриття;Підвал;адмін. будівля;Управління освіти Святошинської РДА;Комунальна;402 45 65;Відсутній
м. Київ;Святошинський; вул. Верховинна;35;50.4527567;30.3720551;Подвійного призначення;Підземний паркінг з пандусом;Підземний паркінг;"ТОВ ""Столичний комфорт""";Приватна;593-24-27;В наявності
м. Київ;Святошинський; вул. Верховинна;37;50.4527157;30.37117;Подвійного призначення;Підземний паркінг з пандусом;Підземний паркінг;"ТОВ ""Столичний комфорт""";Приватна;593-24-28;В наявності
м. Київ;Святошинський; вул. Верховинна;80-Б;50.4518563;30.3552788;Найпростіші укриття;Підвал;житловий будинок;Київський міжнародний університет (гуртожиток);Приватна;093-560-77-28;Відсутній
м. Київ;Святошинський; вул. Верховинна;91;50.4512833;30.3512781;Найпростіші укриття;Підвал;житловий будинок;ТОВ «Житлобуд-1»;Приватна;;Відсутній
м. Київ;Святошинський; вул. Верховинця Василя;10;50.4346872;30.3955102;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-5 т. 407-92-40;Відсутній
м. Київ;Святошинський; вул. Відпочинку;10;50.451404;30.3774038;Найпростіші укриття;Підвал;житловий будинок;КП «Житло сервіс»;Приватна;097-826-84-55;Відсутній
м. Київ;Святошинський; вул. Відпочинку;11;50.4505333;30.3774211;Найпростіші укриття;Підвал;адмін. будівля;Департамент охорони здоров'я;Комунальна;450 82 55;Відсутній
м. Київ;Святошинський; вул. Відпочинку;12;50.4513146;30.376043;Найпростіші укриття;Підвал;житловий будинок;КП «Житло сервіс»;Приватна;097-826-84-55;Відсутній
м. Київ;Святошинський; вул. Вітрука Генерала;13/32;50.4610923;30.3823775;Найпростіші укриття;Підвал;гуртожиток;Київський авіаційний завод «АВІАНТ»;Комунальна;;Відсутній
м. Київ;Святошинський; вул. Вітрука Генерала;11/3;50.4584372;30.382811;Найпростіші укриття;Підвал;житловий будинок;сховище V класу; переведене до фонду найпростіших сховищ;Комунальна;Відсутній
м. Київ;Святошинський; вул. Героїв Космосу;15;50.4391448;30.3852664;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Авіатор-19""";Приватна;067-318-15-15;Відсутній
м. Київ;Святошинський; вул. Героїв Космосу;19;50.4408704;30.3841992;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Верстат-13""";Приватна;067-303-40-82;Відсутній
м. Київ;Святошинський; вул. Героїв Космосу;19-В;50.4397015;30.3842873;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Авіатор-13""";Приватна;050-443-13-05;Відсутній
м. Київ;Святошинський; вул. Гната Юри;18-А;50.4317163;30.3817935;Найпростіші укриття;Підвал;житловий будинок;"ЖБК ""Лепсе-1""";Приватна;095-522-43-62;Відсутній
м. Київ;Святошинський; вул. Гната Юри;5;50.4330621;30.3856813;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-5 т. 407-92-40;Відсутній
м. Київ;Святошинський; вул. Гната Юри;7-А;50.4327656;30.3862582;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-5 т. 407-92-40;Відсутній
м. Київ;Святошинський; вул. Гната Юри;10-Б;50.4334711;30.380893;Найпростіші укриття;Підвал;адмін. будівля;Управління освіти Святошинської РДА;Комунальна;403-09-82;Відсутній
м. Київ;Святошинський; вул. Депутатська;1;50.4591345;30.3871418;Найпростіші укриття;Підвал;адмін. будівля;Управління освіти Святошинської РДА;Комунальна;424 73 69;Відсутній
м. Київ;Святошинський; вул. Депутатська;16/8;50.459016;30.3793882;Найпростіші укриття;Підвал;житловий будинок;ТОВ «Колекція Технолоджіс»;Приватна;067-746-17-59;Відсутній
м. Київ;Святошинський; вул. Депутатська;23-А;50.4585179;30.3758339;Подвійного призначення;Підземний паркінг з пандусом;Підземний паркінг;"ТОВ ""Столичний комфорт""";Приватна;593-24-28;В наявності
м. Київ;Святошинський; вул. Депутатська;4/6;50.459316;30.3834963;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-8-9 тел. 424-73-22;Відсутній
м. Київ;Святошинський; вул. Депутатська;4/6-А;50.4596244;30.384118;Найпростіші укриття;Підвал;житловий будинок;"КП ""ККОЖФ"" Святошинського району";Комунальна;ЖЕД-8-9 тел. 424-73-22;Відсутній
