city;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Деснянський; б-р Бикова;4;50.518202;30.6249011;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 316 КП“КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-06-87;Відсутній
м.Київ;Деснянський; б-р Бикова;5 (2підїзд);50.517503;30.6226968;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-14;Відсутній
м.Київ;Деснянський; б-р Вигурівський;4;50.5182157;30.6141127;Найпростіші укриття;Підвал;Адмінбудівля;ЦПМСД № 4;;532-72-96;Відсутній
м.Київ;Деснянський; б-р Вигурівський;5;50.5178097;30.6128244;Найпростіші укриття;Підвал;Промбудівельник-10;Промбудівельник-10;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;100/31;50.532428;30.6110174;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 316 КП“КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-06-87;Відсутній
м.Київ;Деснянський; вул. Бальзака;14;50.5062383;30.5866042;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 310 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;515-42-45;Відсутній
м.Київ;Деснянський; вул. Бальзака;4;50.4989771;30.5779833;Найпростіші укриття;Підвал ;житловий будинок;ЖЕД 310 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;515-42-45;В наявності
м.Київ;Деснянський; вул. Бальзака;4-А;50.4989569;30.5797226;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 310 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;515-42-45;Відсутній
м.Київ;Деснянський; вул. Бальзака;46;50.5135092;30.6025423;Найпростіші укриття;Підвал;Кристал-18;Кристал-18;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;54-А;50.5185576;30.6077713;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-15;Відсутній
м.Київ;Деснянський; вул. Бальзака;55;50.5139186;30.5982887;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 318 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-45-11;Відсутній
м.Київ;Деснянський; вул. Бальзака;55-В;50.5148584;30.5998583;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 318 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-45-11;Відсутній
м.Київ;Деснянський; вул. Бальзака;55-Г;50.5152567;30.6008181;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 318 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-45-11;Відсутній
м.Київ;Деснянський; вул. Бальзака;56;50.5179722;30.6087291;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-14;Відсутній
м.Київ;Деснянський; вул. Бальзака;58;50.5184633;30.610684;Найпростіші укриття;Підвал;Медик-5;Медик-5;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;58;50.518545;30.6106964;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-14;Відсутній
м.Київ;Деснянський; вул. Бальзака;6;50.5007419;30.5790655;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 310 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;515-42-45;Відсутній
м.Київ;Деснянський; вул. Бальзака;61-В;50.5203285;30.6042295;Подвійного призначення;Підземний паркінг;Підземний гараж;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;61-Г;50.5201989;30.6041436;Подвійного призначення;Підземний паркінг;Підземний гараж;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;63-В;50.5213448;30.6065564;Подвійного призначення;Підземний паркінг;Підземний гараж;КП„ Автотранспортник”;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;66;50.5199516;30.6086078;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-18;Відсутній
м.Київ;Деснянський; вул. Бальзака;68;50.5197374;30.6103347;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-14;Відсутній
м.Київ;Деснянський; вул. Бальзака;70;50.5201848;30.6101422;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-14;Відсутній
м.Київ;Деснянський; вул. Бальзака;72/19;50.5206272;30.6098974;Найпростіші укриття;Підвал;житловий будинок;ЖЕД 313 “КК з ОЖФ Деснянського р-ну м. Києва”;Комунальна;530-11-14;Відсутній
м.Київ;Деснянський; вул. Бальзака;75-А;50.5251189;30.606429;Подвійного призначення;Підземний паркінг;КП «Автотранспортник»;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;77-А;50.525787;30.6071132;Подвійного призначення;Підземний паркінг;КП «Автотранспортник»;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;77-Б;50.5262456;30.6071562;Подвійного призначення;Підземний паркінг;КП «Автотранспортник»;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;77-В;50.5266907;30.6072474;Подвійного призначення;Підземний паркінг;КП «Автотранспортник»;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;77-Г;50.5272773;30.6073734;Подвійного призначення;Підземний паркінг;КП «Автотранспортник»;КП «Автотранспортник»;;;Відсутній
м.Київ;Деснянський; вул. Бальзака;8-Г;50.5005561;30.5819815;Найпростіші укриття;Підвал ;Школа;Спеціалізована школа І-ІІІ ступенів № 264 з поглибленим вивченням англійської мови Деснянського району міста Києва;;515-14-17;В наявності
