city;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Шевченківський; вул. Прорізна;12;50.4491166;30.5184446;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Інтерциклон»;Приватна;096-477-11-22;Відсутній
м.Київ;Шевченківський; вул. Прорізна;13;50.4476472;30.5175444;Подвійного призначення;Підвал;Житловий будинок;ГО «Лао-Муей»;Приватна;097-993-19-65;Відсутній
м.Київ;Шевченківський; вул. Прорізна;14;50.4487946;30.5178124;Найпростіші укриття;Підвал;Школа;Заклад загальної середньої освіти № 48;Комунальна;278-69-23;Відсутній
м.Київ;Шевченківський; вул. Прорізна;16/2;50.4487885;30.5172171;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;278-70-43;Відсутній
м.Київ;Шевченківський; вул. Прорізна;18/1-Г;50.449301;30.5166854;Подвійного призначення;Підвал;Житловий будинок;ТОВ «ВДС Інвест»;Приватна;289-39-82;Відсутній
м.Київ;Шевченківський; вул. Прорізна;18/1-Г;50.4492139;30.5166532;Подвійного призначення;Підвал;Житловий будинок;ПП Щерба;Приватна;096-105-55-77;Відсутній
м.Київ;Шевченківський; вул. Прорізна;19-А;50.4479244;30.5167814;Найпростіші укриття;Підвал;Школа;Заклад загальної середньої освіти № 57;Комунальна;279-66-32;Відсутній
м.Київ;Шевченківський; вул. Прорізна;21;50.4485595;30.516074;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Інтер-Колсантінг»;Приватна;067-930-10-03;Відсутній
м.Київ;Шевченківський; вул. Прорізна;22-В;50.4491888;30.5156042;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Омега КО»;Приватна;067-321-61-68;Відсутній
м.Київ;Шевченківський; вул. Прорізна;3;50.4476604;30.5208683;Подвійного призначення;Підвал;Житловий будинок;ФО Ємець;Приватна;097-688-26-60;Відсутній
м.Київ;Шевченківський; вул. Прорізна;9;50.4482136;30.5184756;Подвійного призначення;Підвал;Житловий будинок;ФО Соколюк;Приватна;067-501-08-45;Відсутній
